"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id"
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Marko","Marko","Elephant seal",2,2,0,2,0,0,0,0,0,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11563
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Media Luna","Media Luna","Elephant seal",41,41,20,4,0,0,0,0,17,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11562
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Modulo North","Modulo","Elephant seal",1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11564
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Alcazar","Alcazar","Weddell seal",4,4,2,0,1,0,0,0,1,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11568
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Ballena Norte","Ballena Norte","Weddell seal",1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11567
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Ballena Sur","Ballena Sur","Weddell seal",1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11566
"2009/10",2009-10-23,2009-10-24,TRUE,NA,2009-10-24,NA,NA,"Cachorros","Cachorros","Weddell seal",2,2,1,0,0,0,0,0,1,NA,NA,NA,NA,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",NA,149,11565
"2009/10",2009-11-01,2009-11-01,TRUE,NA,2009-11-01,NA,NA,"Maderas","Maderas","Crabeater seal",1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,"Imported from Excel files. Observers: RB, RMB",NA,150,11578
"2009/10",2009-11-01,2009-11-01,TRUE,NA,2009-11-01,NA,NA,"Media Luna","Media Luna","Elephant seal",41,41,15,7,0,0,0,0,19,NA,NA,NA,NA,"Imported from Excel files. Observers: RB, RMB",NA,150,11569
"2009/10",2009-11-01,2009-11-01,TRUE,NA,2009-11-01,NA,NA,"Cachorros","Cachorros","Weddell seal",3,3,1,0,0,0,0,0,2,NA,NA,NA,NA,"Imported from Excel files. Observers: RB, RMB",NA,150,11573
