"season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","header_notes","header_id"
"2009/10",2009-10-23,2009-10-24,2,TRUE,"Imported from Excel files. Observers: RB & RMB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",149
"2009/10",2009-11-01,2009-11-01,1,TRUE,"Imported from Excel files. Observers: RB, RMB",150
"2009/10",2009-11-08,2009-11-08,1,TRUE,"Imported from Excel files. Observers: RB, RMB",151
"2009/10",2009-11-14,2009-11-14,1,TRUE,"Imported from Excel files. Observers: RB, RMB",152
"2009/10",2009-11-21,2009-11-21,1,TRUE,"Imported from Excel files. Observers: RB, MG, RMB. Excel sheet had comments specifying who surveyed which beach",153
"2009/10",2009-11-28,2009-11-28,1,TRUE,"Imported from Excel files. Observers: RB, RMB, MG",154
"2009/10",2009-12-05,2009-12-05,1,TRUE,"Imported from Excel files. Observers: RB, RMB, MG & CB",155
"2009/10",2009-12-11,2009-12-12,2,TRUE,"Imported from Excel files. Observers: RMB, RB, MG",156
"2009/10",2009-12-19,2009-12-19,1,TRUE,"Imported from Excel files. Observers: RMB, RB",157
"2009/10",2009-12-27,2009-12-28,2,TRUE,"Imported from Excel files. Observers: RMB, RB. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",158
"2009/10",2010-01-04,2010-01-04,1,TRUE,"Imported from Excel files. Observers: MG, RMB, RB",159
"2009/10",2010-01-11,2010-01-11,1,TRUE,"Imported from Excel files. Observers: MG, RMB, RB",160
"2009/10",2010-01-19,2010-01-19,1,TRUE,"Imported from Excel files. Observers: MG, RB, RMB, CAB",161
"2009/10",2010-01-26,2010-01-26,1,TRUE,"Imported from Excel files. Observers: RB, RMB, MG",162
"2009/10",2010-02-02,2010-02-02,1,TRUE,"Imported from Excel files. Observers: RB, RMB, MG",163
"2009/10",2010-02-09,2010-02-09,1,TRUE,"Imported from Excel files. Observers: RMB, RB, RV",164
"2009/10",2010-02-16,2010-02-16,1,TRUE,"Imported from Excel files. Observers: RB, RMB, RV",165
"2009/10",2010-02-23,2010-02-23,1,TRUE,"Imported from Excel files. Observers: RB, DK, RMB",166
"2010/11",2010-11-10,2010-11-10,1,TRUE,"Imported from Excel files. Observers: KWP, RMB",167
"2010/11",2010-11-18,2010-11-18,1,TRUE,"Imported from Excel files. Observers: KWP, RMB",168
"2010/11",2010-11-24,2010-11-24,1,TRUE,"Imported from Excel files. Observers: KWP, RMB, NP",169
"2010/11",2010-12-03,2010-12-04,2,FALSE,"Imported from Excel files. Observers: RMB, KWP, NP. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",170
"2010/11",2010-12-18,2010-12-18,1,FALSE,"Imported from Excel files. Observers: KWP, MLM, RMB, NP",171
"2010/11",2010-12-28,2010-12-30,3,TRUE,"Imported from Excel files. Observers: KWP, RMB, NP. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day",172
"2010/11",2011-01-07,2011-01-07,1,TRUE,"Imported from Excel files. Observers: RMB, KWP, NP",173
"2010/11",2011-01-15,2011-01-15,1,TRUE,"Imported from Excel files. Observers: KWP, MLM, RMB, NP",174
"2011/12",2011-11-23,2011-11-23,1,TRUE,NA,1
"2011/12",2011-12-01,2011-12-01,1,TRUE,NA,2
"2011/12",2011-12-09,2011-12-09,1,TRUE,NA,3
"2011/12",2011-12-17,2011-12-17,1,TRUE,NA,4
"2011/12",2011-12-23,2011-12-23,1,TRUE,NA,5
"2011/12",2011-12-30,2011-12-30,1,TRUE,NA,6
"2011/12",2012-01-06,2012-01-06,1,TRUE,NA,7
"2011/12",2012-01-13,2012-01-13,1,TRUE,NA,8
"2011/12",2012-01-20,2012-01-20,1,FALSE,NA,9
"2011/12",2012-01-27,2012-01-28,2,TRUE,NA,10
"2011/12",2012-02-04,2012-02-04,1,TRUE,NA,11
"2011/12",2012-02-10,2012-02-10,1,TRUE,NA,12
"2011/12",2012-02-17,2012-02-17,1,FALSE,NA,13
"2011/12",2012-02-24,2012-02-24,1,TRUE,NA,14
"2012/13",2012-11-16,2012-11-16,1,TRUE,NA,15
"2012/13",2012-11-23,2012-11-23,1,TRUE,NA,16
"2012/13",2012-11-30,2012-11-30,1,TRUE,NA,17
"2012/13",2012-12-07,2012-12-07,1,TRUE,NA,18
"2012/13",2012-12-14,2012-12-14,1,TRUE,NA,19
"2012/13",2012-12-20,2012-12-21,2,TRUE,NA,20
"2012/13",2012-12-28,2012-12-28,1,TRUE,NA,21
"2012/13",2013-01-04,2013-01-04,1,TRUE,NA,22
"2012/13",2013-01-11,2013-01-11,1,TRUE,NA,23
"2012/13",2013-01-18,2013-01-18,1,TRUE,NA,24
