"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id","research_program","notes"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Alcazar",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Aranda",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Bahamonde",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Ballena Norte",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Chungungo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Larga",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Loberia",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Maderas",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Marko",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Media Luna",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Modulo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Paulina, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Pinochet de la Barra",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Roquerio",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Yamana, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Alcazar",,"Elephant seal",3,,1,0,,0,0,,0,,,,2,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Aranda",,"Elephant seal",7,,0,0,,4,3,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Bahamonde",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Ballena Norte",,"Elephant seal",16,,0,1,,0,4,,2,,,,9,,,"1997/98-1",,"INACH","pups: 0 females; 2 malesNA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Chungungo",,"Elephant seal",1,,0,0,,0,1,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Larga",,"Elephant seal",24,,0,0,,1,18,,4,,,,1,,,"1997/98-1",,"INACH","pups: 3 females; 1 malesNA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Loberia",,"Elephant seal",1,,0,0,,0,0,,0,,,,1,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Maderas",,"Elephant seal",2,,0,0,,1,0,,0,,,,1,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Marko",,"Elephant seal",8,,0,0,,2,2,,3,,,,1,,,"1997/98-1",,"INACH","pups: 2 females; 1 malesNA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Media Luna",,"Elephant seal",185,,4,0,,11,140,,14,,,,16,,,"1997/98-1",,"INACH","pups: 4 females; 10 malesNA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Modulo",,"Elephant seal",1,,0,0,,0,0,,1,,,,0,,,"1997/98-1",,"INACH","pups: 0 females; 1 malesNA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Paulina, Playa",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Pinochet de la Barra",,"Elephant seal",3,,1,0,,0,0,,0,,,,2,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Roquerio",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Yamana, Playa",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Alcazar",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Aranda",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Bahamonde",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Ballena Norte",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Chungungo",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Larga",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Loberia",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Maderas",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Marko",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Media Luna",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Modulo",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Paulina, Playa",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Pinochet de la Barra",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Roquerio",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Yamana, Playa",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Alcazar",,"Weddell seal",18,,6,9,,0,3,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Aranda",,"Weddell seal",4,,0,0,,1,3,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Bahamonde",,"Weddell seal",1,,0,1,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Ballena Norte",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Chungungo",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Larga",,"Weddell seal",2,,0,1,,1,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Loberia",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Maderas",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Marko",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Media Luna",,"Weddell seal",5,,1,3,,1,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Modulo",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Paulina, Playa",,"Weddell seal",1,,0,1,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Pinochet de la Barra",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Roquerio",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-10","1997-12-10",FALSE,,"1997-12-10",,,"Yamana, Playa",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-1",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Alcazar",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Aranda",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Ballena Norte",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Chungungo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Canal, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Lobero, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Larga",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Maderas",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Marko",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Media Luna",,"Crabeater seal",1,,0,1,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Modulo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Nibaldo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Papua",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Paulina, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Roquerio",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Schiappacasse, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Alcazar",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Aranda",,"Elephant seal",8,,2,0,,1,1,,0,,,,4,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Ballena Norte",,"Elephant seal",17,,0,2,,0,8,,0,,,,7,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Chungungo",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
