"season_name","week","census_date","location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_male_count","pup_female_count","pup_unk_count","unk_unk_count","notes","research_program"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,0,1,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,0,0,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Leopard seal",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2000/01",6,2000-12-29,"Schiappacasse, Playa","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Elephant seal",0,0,NA,0,0,NA,0,0,0,0,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Weddell seal",2,0,NA,3,1,NA,0,0,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Elephant seal",0,0,NA,0,0,NA,0,0,0,0,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2001/02",7,2002-01-19,"Alcazar","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"2002/03",4,2002-11-23,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2002/03",4,2002-11-23,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2002/03",8,2002-12-21,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"2002/03",8,2002-12-21,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
