"season_name","census_date","time_start","time_end","location","species","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record","header_id","total_count","total_count_nodead"
"1997/98",1997-12-10,,,"Alcazar","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Alcazar","Elephant seal",1,0,,0,0,,0,,,,2,,,"1997/98-01",3,
"1997/98",1997-12-10,,,"Alcazar","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Alcazar","Weddell seal",6,9,,0,3,,0,,,,,,,"1997/98-01",18,
"1997/98",1997-12-10,,,"Aranda","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Aranda","Elephant seal",0,0,,4,3,,0,,,,0,,,"1997/98-01",7,
"1997/98",1997-12-10,,,"Aranda","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Aranda","Weddell seal",0,0,,1,3,,0,,,,,,,"1997/98-01",4,
"1997/98",1997-12-10,,,"Bahamonde","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Bahamonde","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Bahamonde","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Bahamonde","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-01",1,
"1997/98",1997-12-10,,,"Ballena Norte","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Ballena Norte","Elephant seal",0,1,,0,4,,2,,,,9,"pups: 0 females; 2 males; NA unknowns",,"1997/98-01",16,
"1997/98",1997-12-10,,,"Ballena Norte","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Ballena Norte","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Chungungo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Chungungo","Elephant seal",0,0,,0,1,,0,,,,0,,,"1997/98-01",1,
"1997/98",1997-12-10,,,"Chungungo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Chungungo","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Larga","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Larga","Elephant seal",0,0,,1,18,,4,,,,1,"pups: 3 females; 1 males; NA unknowns",,"1997/98-01",24,
"1997/98",1997-12-10,,,"Larga","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Larga","Weddell seal",0,1,,1,0,,0,,,,,,,"1997/98-01",2,
"1997/98",1997-12-10,,,"Loberia","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
