eventID	eventDate	dynamicProperties	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	locality	higherGeography	higherGeographyID	countryCode	sampleSizeValue	sampleSizeUnit	geodeticDatum	samplingProtocol
185	1997-12-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
186	1997-12-18	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
187	1997-12-24	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
188	1998-01-01	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
189	1998-01-08	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
190	1998-01-16	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
191	1998-01-22	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
192	1998-01-29	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
193	1998-12-10	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
194	1998-12-17	{""research_program"": ""INACH"", ""surveyed_san_telmo"": false}	-60.77	-62.47	2650	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	AQ	1	day	EPSG:4326	TODO: add paper DOI upon publication
