occurrenceID	eventID	location	scientificName	vernacularName	scientificNameID	taxonRank	kingdom	basisOfRecord	identificationReferences	lifeStage	sex	individualCount	occurrenceStatus	dateIdentified
1-1-344008-1-1	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-11-23
1-1-344008-1-2	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-11-23
1-1-344008-1-3	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-11-23
1-1-344008-2-1	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-1-344008-2-2	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-11-23
1-1-344008-2-3	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-11-23
1-1-344008-3-3	1-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	1	present	2011-11-23
1-1-231413-1-1	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	2	present	2011-11-23
1-1-231413-1-2	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	10	present	2011-11-23
1-1-231413-1-3	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-11-23
1-1-231413-2-1	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	2	present	2011-11-23
1-1-231413-2-2	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	20	present	2011-11-23
1-1-231413-2-3	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	16	present	2011-11-23
1-1-231413-3-3	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	73	present	2011-11-23
1-1-231413-4-3	1-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	unknown	indeterminate	0	absent	2011-11-23
1-1-231417-1-1	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-11-23
1-1-231417-1-2	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-11-23
1-1-231417-1-3	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-11-23
1-1-231417-2-1	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-1-231417-2-2	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-11-23
1-1-231417-2-3	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-11-23
1-1-231417-3-3	1-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-11-23
1-1-195932-1-1	1-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	12	present	2011-11-23
1-1-195932-1-2	1-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	14	present	2011-11-23
1-1-195932-1-3	1-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	2	present	2011-11-23
1-1-195932-2-1	1-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-1-195932-2-2	1-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	3	present	2011-11-23
