"season_name","week","census_date","num_records","season_week_duplicate"
"1997/98",1,1997-12-10,60,
"1997/98",2,1997-12-18,68,
"1997/98",3,1997-12-24,56,
"1997/98",4,1997-01-01,40,TRUE
"1997/98",4,1998-01-01,40,TRUE
"1997/98",5,1997-01-08,36,TRUE
"1997/98",5,1998-01-08,36,TRUE
"1997/98",6,1998-01-16,84,
"1997/98",7,1998-01-22,68,
"1997/98",8,1998-01-29,76,
"1998/99",1,1998-12-10,72,
"1998/99",2,1998-12-17,56,
"1998/99",3,1998-12-24,64,
"1998/99",4,1999-01-01,16,TRUE
"1998/99",4,1999-01-02,48,TRUE
"1998/99",5,1999-01-07,64,
"1998/99",6,1999-01-14,44,
"1998/99",7,1999-01-21,48,
"1998/99",8,1999-01-28,48,
"1998/99",9,1999-02-04,76,
"1998/99",10,1999-02-11,52,
"1998/99",11,1999-02-18,52,
"1999/00",1,1999-12-06,60,
"1999/00",2,1999-12-13,68,
"1999/00",3,1999-12-20,60,
"1999/00",4,1999-12-27,68,
"1999/00",5,2000-01-03,56,
"1999/00",6,2000-01-10,68,
"1999/00",7,2000-01-18,42,
"1999/00",8,2000-01-24,33,
"1999/00",9,2000-01-31,33,
"1999/00",10,2000-02-07,54,
"1999/00",11,2000-02-14,33,
"2000/01",1,2000-11-24,68,
"2000/01",2,2000-12-01,52,
"2000/01",3,2000-12-08,60,
"2000/01",4,2000-12-15,48,
"2000/01",5,2000-12-22,48,TRUE
"2000/01",5,2000-12-23,16,TRUE
"2000/01",6,2000-12-29,92,
"2000/01",7,2001-01-01,15,TRUE
"2000/01",7,2001-01-05,45,TRUE
"2000/01",8,2001-01-12,72,
"2000/01",9,2001-01-19,80,
"2000/01",10,2001-01-26,84,
"2000/01",11,2001-02-03,68,
"2000/01",12,2001-02-09,68,
"2000/01",13,2001-02-17,32,
"2001/02",1,2001-12-08,44,
"2001/02",2,2001-12-15,12,TRUE
"2001/02",2,2001-12-16,36,TRUE
"2001/02",3,2001-12-22,56,
"2001/02",4,2001-12-28,56,
"2001/02",5,2002-01-05,60,
"2001/02",6,2002-01-12,36,
"2001/02",7,2002-01-19,76,
"2001/02",8,2002-01-26,72,
"2001/02",9,2002-02-02,48,
"2001/02",10,2002-02-09,68,
"2001/02",11,2002-02-16,56,
"2001/02",12,2002-02-23,56,
"2002/03",1,2002-11-07,49,
"2002/03",2,2002-11-10,45,TRUE
"2002/03",2,2002-11-16,12,TRUE
"2002/03",3,2002-11-16,45,TRUE
"2002/03",3,2002-11-23,12,TRUE
"2002/03",4,2002-11-23,57,TRUE
"2002/03",4,2002-11-30,7,TRUE
"2002/03",5,2002-11-30,48,TRUE
"2002/03",5,2002-12-07,9,TRUE
"2002/03",6,2002-12-07,54,TRUE
"2002/03",6,2002-12-14,8,TRUE
"2002/03",7,2002-12-14,45,TRUE
"2002/03",7,2002-12-21,10,TRUE
"2002/03",8,2002-12-21,49,TRUE
"2002/03",8,2002-12-28,9,TRUE
"2002/03",9,2002-12-28,51,TRUE
"2002/03",9,2003-01-04,12,TRUE
"2002/03",10,2003-01-04,45,
"2003/04",1,2003-12-28,140,
"2003/04",2,2004-01-06,140,
"2003/04",3,2004-01-11,140,
"2003/04",4,2004-01-18,140,
"2003/04",5,2004-01-26,140,
"2003/04",6,2004-02-02,140,
"2003/04",7,2004-02-08,140,
"2003/04",8,2004-02-16,140,
"2004/05",1,2004-12-19,56,
"2004/05",2,2004-12-26,44,
"2004/05",3,2005-01-02,72,
"2004/05",4,2005-01-11,48,
"2004/05",5,2005-01-17,56,
"2004/05",6,2005-01-23,52,
"2004/05",7,2005-01-30,64,
"2004/05",8,2005-02-08,52,
"2004/05",9,2005-02-16,48,
"2004/05",10,2005-02-24,52,
"2004/05",11,2005-03-02,32,
"2005/06",1,2005-12-27,4,
"2005/06",2,2006-01-03,4,
"2005/06",3,2006-01-10,4,
"2005/06",4,2006-01-18,4,
"2005/06",5,2006-01-24,4,
"2005/06",6,2006-01-31,4,
"2005/06",7,2006-02-07,4,
"2005/06",8,2006-02-15,4,
"2006/07",1,2006-12-05,50,
"2006/07",2,2006-12-14,46,
"2006/07",3,2006-12-21,60,
"2006/07",4,2006-12-28,53,
"2006/07",5,2007-01-04,45,
"2006/07",6,2007-01-11,47,
"2006/07",7,2007-01-18,44,TRUE
"2006/07",7,2007-01-25,9,TRUE
"2006/07",8,2007-01-25,39,TRUE
"2006/07",8,2007-02-01,1,TRUE
"2006/07",9,2007-02-01,18,TRUE
"2006/07",9,2007-02-16,1,TRUE
"2006/07",10,2007-02-08,6,
"2006/07",11,2007-02-16,3,
