"season_name","week","census_date","Location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_mle_count","pup_female_count","pup_unk_count","unk_unk_count","notes"
"1997/98",4,1997-01-01,"Pta Mann","Crabeater seal",0,0,,,,,,,,,
"1997/98",4,1997-01-01,"Pta Mann","Leopard seal",0,0,0,,,,,,,,
"1997/98",4,1997-01-01,"Pta Yeco","Crabeater seal",0,0,,,,,,,,,
"1997/98",4,1997-01-01,"Pta Yeco","Leopard seal",0,1,0,,,,,,,,
"1997/98",2,1997-12-18,"Pta Yeco","Crabeater seal",0,0,,,,,,,,,
"1997/98",2,1997-12-18,"Pta Yeco","Elephant seal",0,0,,0,0,,0,0,,0,
"1997/98",2,1997-12-18,"Pta Yeco","Leopard seal",0,0,0,,,,,,,,
"1997/98",2,1997-12-18,"Pta Yeco","Weddell seal",1,0,,0,0,,0,0,,,
"1997/98",4,1998-01-01,"Pta Mann","Elephant seal",0,0,,1,0,,0,0,,0,
"1997/98",4,1998-01-01,"Pta Mann","Weddell seal",0,0,,0,0,,0,0,,,
"1997/98",4,1998-01-01,"Pta Yeco","Elephant seal",0,0,,0,0,,0,0,,0,
"1997/98",4,1998-01-01,"Pta Yeco","Weddell seal",0,0,,0,0,,0,0,,,
"1997/98",6,1998-01-16,"Pta Mann","Crabeater seal",0,0,,,,,,,,,
"1997/98",6,1998-01-16,"Pta Mann","Elephant seal",1,0,,0,0,,0,0,,0,
"1997/98",6,1998-01-16,"Pta Mann","Leopard seal",0,0,0,,,,,,,,
"1997/98",6,1998-01-16,"Pta Mann","Weddell seal",0,0,,0,0,,0,0,,,
"1997/98",8,1998-01-29,"Pta Nacella","Crabeater seal",0,0,,,,,,,,,
"1997/98",8,1998-01-29,"Pta Nacella","Elephant seal",0,1,,0,0,,0,0,,0,
"1997/98",8,1998-01-29,"Pta Nacella","Leopard seal",0,0,0,,,,,,,,
"1997/98",8,1998-01-29,"Pta Nacella","Weddell seal",0,0,,0,0,,0,0,,,
"2000/01",3,2000-12-08,"Pta Mann","Crabeater seal",0,0,,,,,,,,,
"2000/01",3,2000-12-08,"Pta Mann","Elephant seal",0,0,,0,0,,0,0,0,0,
"2000/01",3,2000-12-08,"Pta Mann","Leopard seal",0,0,0,,,,,,,,
"2000/01",3,2000-12-08,"Pta Mann","Weddell seal",0,0,,0,0,,0,0,,,
"2000/01",6,2000-12-29,"Pta Mann","Crabeater seal",0,0,,,,,,,,,
"2000/01",6,2000-12-29,"Pta Mann","Elephant seal",0,0,,0,0,,0,0,0,0,
"2000/01",6,2000-12-29,"Pta Mann","Leopard seal",0,0,0,,,,,,,,
"2000/01",6,2000-12-29,"Pta Mann","Weddell seal",0,0,,1,0,,0,0,,,
"2003/04",1,2003-12-28,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",1,2003-12-28,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",1,2003-12-28,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",1,2003-12-28,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",1,2003-12-28,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",1,2003-12-28,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",1,2003-12-28,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",1,2003-12-28,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",2,2004-01-06,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",2,2004-01-06,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",2,2004-01-06,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",2,2004-01-06,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",2,2004-01-06,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",2,2004-01-06,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",2,2004-01-06,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",2,2004-01-06,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",3,2004-01-11,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",3,2004-01-11,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",3,2004-01-11,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",3,2004-01-11,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",3,2004-01-11,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",3,2004-01-11,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",3,2004-01-11,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
