count_id,event_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
1-1-344008,1,Core census locations,Lobodon carcinophaga,Crabeater seal,1,0,0,0,0,0,0,1,,,
1-1-231413,1,Core census locations,Mirounga leonina,Southern elephant seal,123,2,10,0,2,20,16,73,,,0
1-1-231417,1,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
1-1-195932,1,Core census locations,Leptonychotes weddellii,Weddell seal,31,12,14,2,0,3,0,0,,,
1-2-344008,1,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
1-2-231413,1,Punta San Telmo,Mirounga leonina,Southern elephant seal,16,0,1,0,2,11,2,0,,,0
1-2-231417,1,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
1-2-195932,1,Punta San Telmo,Leptonychotes weddellii,Weddell seal,11,5,5,1,0,0,0,0,,,
2-1-344008,2,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
2-1-231413,2,Core census locations,Mirounga leonina,Southern elephant seal,190,4,6,0,12,78,17,71,,,2
2-1-231417,2,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
2-1-195932,2,Core census locations,Leptonychotes weddellii,Weddell seal,29,10,8,0,4,3,3,1,,,
2-2-344008,2,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
2-2-231413,2,Punta San Telmo,Mirounga leonina,Southern elephant seal,32,0,0,0,5,24,3,0,,,0
2-2-231417,2,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
2-2-195932,2,Punta San Telmo,Leptonychotes weddellii,Weddell seal,10,2,3,5,0,0,0,0,,,
3-1-344008,3,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
