event_id,season_name,census_date_start,census_date_end,census_days,surveyed_pst,research_program
185,1997/98,1997-12-10,1997-12-10,1,FALSE,INACH
186,1997/98,1997-12-18,1997-12-18,1,FALSE,INACH
187,1997/98,1997-12-24,1997-12-24,1,FALSE,INACH
188,1997/98,1998-01-01,1998-01-01,1,FALSE,INACH
189,1997/98,1998-01-08,1998-01-08,1,FALSE,INACH
190,1997/98,1998-01-16,1998-01-16,1,FALSE,INACH
191,1997/98,1998-01-22,1998-01-22,1,FALSE,INACH
192,1997/98,1998-01-29,1998-01-29,1,FALSE,INACH
193,1998/99,1998-12-10,1998-12-10,1,FALSE,INACH
194,1998/99,1998-12-17,1998-12-17,1,FALSE,INACH
195,1998/99,1998-12-24,1998-12-24,1,FALSE,INACH
196,1998/99,1999-01-02,1999-01-02,1,FALSE,INACH
197,1998/99,1999-01-07,1999-01-07,1,FALSE,INACH
198,1998/99,1999-01-14,1999-01-14,1,FALSE,INACH
199,1998/99,1999-01-21,1999-01-21,1,FALSE,INACH
200,1998/99,1999-01-28,1999-01-28,1,FALSE,INACH
201,1998/99,1999-02-04,1999-02-04,1,FALSE,INACH
202,1998/99,1999-02-11,1999-02-11,1,FALSE,INACH
203,1998/99,1999-02-18,1999-02-18,1,FALSE,INACH
204,1999/00,1999-12-06,1999-12-06,1,FALSE,INACH
205,1999/00,1999-12-13,1999-12-13,1,FALSE,INACH
206,1999/00,1999-12-20,1999-12-20,1,FALSE,INACH
207,1999/00,1999-12-27,1999-12-27,1,FALSE,INACH
208,1999/00,2000-01-03,2000-01-03,1,FALSE,INACH
209,1999/00,2000-01-10,2000-01-10,1,FALSE,INACH
210,1999/00,2000-01-18,2000-01-18,1,FALSE,INACH
211,1999/00,2000-01-24,2000-01-24,1,FALSE,INACH
212,1999/00,2000-01-31,2000-01-31,1,FALSE,INACH
213,1999/00,2000-02-07,2000-02-07,1,FALSE,INACH
214,1999/00,2000-02-14,2000-02-14,1,FALSE,INACH
215,2000/01,2000-11-24,2000-11-24,1,FALSE,INACH
216,2000/01,2000-12-01,2000-12-01,1,FALSE,INACH
217,2000/01,2000-12-08,2000-12-08,1,FALSE,INACH
218,2000/01,2000-12-15,2000-12-15,1,FALSE,INACH
219,2000/01,2000-12-22,2000-12-23,2,FALSE,INACH
220,2000/01,2000-12-29,2000-12-29,1,FALSE,INACH
221,2000/01,2001-01-05,2001-01-05,1,FALSE,INACH
222,2000/01,2001-01-12,2001-01-12,1,FALSE,INACH
223,2000/01,2001-01-19,2001-01-19,1,FALSE,INACH
224,2000/01,2001-01-26,2001-01-26,1,FALSE,INACH
225,2000/01,2001-02-03,2001-02-03,1,FALSE,INACH
226,2000/01,2001-02-09,2001-02-09,1,FALSE,INACH
227,2000/01,2001-02-17,2001-02-17,1,FALSE,INACH
228,2001/02,2001-12-08,2001-12-08,1,FALSE,INACH
229,2001/02,2001-12-15,2001-12-16,2,FALSE,INACH
230,2001/02,2001-12-22,2001-12-22,1,FALSE,INACH
231,2001/02,2001-12-28,2001-12-28,1,FALSE,INACH
232,2001/02,2002-01-05,2002-01-05,1,FALSE,INACH
233,2001/02,2002-01-12,2002-01-12,1,FALSE,INACH
234,2001/02,2002-01-19,2002-01-19,1,FALSE,INACH
235,2001/02,2002-01-26,2002-01-26,1,FALSE,INACH
236,2001/02,2002-02-02,2002-02-02,1,FALSE,INACH
237,2001/02,2002-02-09,2002-02-09,1,FALSE,INACH
238,2001/02,2002-02-16,2002-02-16,1,FALSE,INACH
239,2001/02,2002-02-23,2002-02-23,1,FALSE,INACH
240,2002/03,2002-11-07,2002-11-07,1,FALSE,INACH
241,2002/03,2002-11-10,2002-11-10,1,FALSE,INACH
242,2002/03,2002-11-16,2002-11-16,1,FALSE,INACH
243,2002/03,2002-11-23,2002-11-23,1,FALSE,INACH
244,2002/03,2002-11-30,2002-11-30,1,FALSE,INACH
245,2002/03,2002-12-07,2002-12-07,1,FALSE,INACH
246,2002/03,2002-12-14,2002-12-14,1,FALSE,INACH
247,2002/03,2002-12-21,2002-12-21,1,FALSE,INACH
248,2002/03,2002-12-28,2002-12-28,1,FALSE,INACH
249,2002/03,2003-01-04,2003-01-04,1,FALSE,INACH
250,2003/04,2003-12-28,2003-12-28,1,FALSE,INACH
251,2003/04,2004-01-06,2004-01-06,1,FALSE,INACH
252,2003/04,2004-01-11,2004-01-11,1,FALSE,INACH
253,2003/04,2004-01-18,2004-01-18,1,FALSE,INACH
254,2003/04,2004-01-26,2004-01-26,1,FALSE,INACH
255,2003/04,2004-02-02,2004-02-02,1,FALSE,INACH
256,2003/04,2004-02-08,2004-02-08,1,FALSE,INACH
257,2003/04,2004-02-16,2004-02-16,1,FALSE,INACH
258,2004/05,2004-12-19,2004-12-19,1,FALSE,INACH
259,2004/05,2004-12-26,2004-12-26,1,FALSE,INACH
260,2004/05,2005-01-02,2005-01-02,1,FALSE,INACH
261,2004/05,2005-01-11,2005-01-11,1,FALSE,INACH
262,2004/05,2005-01-17,2005-01-17,1,FALSE,INACH
263,2004/05,2005-01-23,2005-01-23,1,FALSE,INACH
264,2004/05,2005-01-30,2005-01-30,1,FALSE,INACH
265,2004/05,2005-02-08,2005-02-08,1,FALSE,INACH
266,2004/05,2005-02-16,2005-02-16,1,FALSE,INACH
267,2004/05,2005-02-24,2005-02-24,1,FALSE,INACH
268,2004/05,2005-03-02,2005-03-02,1,FALSE,INACH
269,2005/06,2005-12-27,2005-12-27,1,FALSE,INACH
270,2005/06,2006-01-03,2006-01-03,1,FALSE,INACH
271,2005/06,2006-01-10,2006-01-10,1,FALSE,INACH
