"header_id","season_name","week","census_date","location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_male_count","pup_female_count","pup_unk_count","unk_unk_count","notes","research_program"
"1997/98-01","1997/98",1,1997-12-10,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Alcazar","Elephant seal",0,1,NA,0,0,NA,0,0,NA,2,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Alcazar","Weddell seal",9,6,NA,3,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Aranda","Elephant seal",0,0,NA,3,4,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Aranda","Weddell seal",0,0,NA,3,1,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Bahamonde","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Bahamonde","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Bahamonde","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Bahamonde","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Ballena Norte","Elephant seal",1,0,NA,4,0,NA,2,0,NA,9,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Ballena Norte","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Chungungo","Elephant seal",0,0,NA,1,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Chungungo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Chungungo","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Modulo","Elephant seal",0,0,NA,0,0,NA,1,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Larga","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Larga","Elephant seal",0,0,NA,18,1,NA,1,3,NA,1,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Larga","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Larga","Weddell seal",1,0,NA,0,1,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Loberia","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Loberia","Elephant seal",0,0,NA,0,0,NA,0,0,NA,1,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Loberia","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Maderas","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Maderas","Elephant seal",0,0,NA,0,1,NA,0,0,NA,1,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Maderas","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Maderas","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Marko","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Marko","Elephant seal",0,0,NA,2,2,NA,1,2,NA,1,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Marko","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Marko","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Media Luna","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Media Luna","Elephant seal",0,4,NA,140,11,NA,10,4,NA,16,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Media Luna","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Media Luna","Weddell seal",3,1,NA,0,1,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Modulo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Modulo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Modulo","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Paulina, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Paulina, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Paulina, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Paulina, Playa","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Pinochet de la Barra","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Pinochet de la Barra","Elephant seal",0,1,NA,0,0,NA,0,0,NA,2,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Pinochet de la Barra","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Pinochet de la Barra","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Roquerio","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Roquerio","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1,1997-12-10,"Yamana, Playa","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Alcazar","Weddell seal",3,0,NA,1,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Elephant seal",0,2,NA,1,1,NA,0,0,NA,4,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Aranda","Weddell seal",1,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Elephant seal",2,0,NA,8,0,NA,0,0,NA,7,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Ballena Norte","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",2,1997-12-18,"Chungungo","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
