season_name,census_date_start,census_date_end,census_days,surveyed_san_telmo,header_notes,research_program,header_id
1997/98,1997-12-10,1997-12-10,1,FALSE,,INACH,1997/98-w01
1997/98,1997-12-18,1997-12-18,1,FALSE,,INACH,1997/98-w02
1997/98,1997-12-24,1997-12-24,1,FALSE,,INACH,1997/98-w03
1997/98,1998-01-01,1998-01-01,1,FALSE,,INACH,1997/98-w04
1997/98,1998-01-08,1998-01-08,1,FALSE,,INACH,1997/98-w05
1997/98,1998-01-16,1998-01-16,1,FALSE,,INACH,1997/98-w06
1997/98,1998-01-22,1998-01-22,1,FALSE,,INACH,1997/98-w07
1997/98,1998-01-29,1998-01-29,1,FALSE,,INACH,1997/98-w08
1998/99,1998-12-10,1998-12-10,1,FALSE,,INACH,1998/99-w01
1998/99,1998-12-17,1998-12-17,1,FALSE,,INACH,1998/99-w02
1998/99,1998-12-24,1998-12-24,1,FALSE,,INACH,1998/99-w03
1998/99,1999-01-02,1999-01-02,1,FALSE,,INACH,1998/99-w04
1998/99,1999-01-07,1999-01-07,1,FALSE,,INACH,1998/99-w05
1998/99,1999-01-14,1999-01-14,1,FALSE,,INACH,1998/99-w06
1998/99,1999-01-21,1999-01-21,1,FALSE,,INACH,1998/99-w07
1998/99,1999-01-28,1999-01-28,1,FALSE,,INACH,1998/99-w08
1998/99,1999-02-04,1999-02-04,1,FALSE,,INACH,1998/99-w09
1998/99,1999-02-11,1999-02-11,1,FALSE,,INACH,1998/99-w10
1998/99,1999-02-18,1999-02-18,1,FALSE,,INACH,1998/99-w11
1999/00,1999-12-06,1999-12-06,1,FALSE,,INACH,1999/00-w01
1999/00,1999-12-13,1999-12-13,1,FALSE,,INACH,1999/00-w02
1999/00,1999-12-20,1999-12-20,1,FALSE,,INACH,1999/00-w03
1999/00,1999-12-27,1999-12-27,1,FALSE,,INACH,1999/00-w04
1999/00,2000-01-03,2000-01-03,1,FALSE,,INACH,1999/00-w05
1999/00,2000-01-10,2000-01-10,1,FALSE,,INACH,1999/00-w06
1999/00,2000-01-18,2000-01-18,1,FALSE,,INACH,1999/00-w07
1999/00,2000-01-24,2000-01-24,1,FALSE,,INACH,1999/00-w08
1999/00,2000-01-31,2000-01-31,1,FALSE,,INACH,1999/00-w09
1999/00,2000-02-07,2000-02-07,1,FALSE,,INACH,1999/00-w10
1999/00,2000-02-14,2000-02-14,1,FALSE,,INACH,1999/00-w11
2000/01,2000-11-24,2000-11-24,1,FALSE,,INACH,2000/01-w01
2000/01,2000-12-01,2000-12-01,1,FALSE,,INACH,2000/01-w02
2000/01,2000-12-08,2000-12-08,1,FALSE,,INACH,2000/01-w03
2000/01,2000-12-15,2000-12-15,1,FALSE,,INACH,2000/01-w04
2000/01,2000-12-22,2000-12-23,2,FALSE,,INACH,2000/01-w05
2000/01,2000-12-29,2000-12-29,1,FALSE,,INACH,2000/01-w06
2000/01,2001-01-05,2001-01-05,1,FALSE,,INACH,2000/01-w07
2000/01,2001-01-12,2001-01-12,1,FALSE,,INACH,2000/01-w08
2000/01,2001-01-19,2001-01-19,1,FALSE,,INACH,2000/01-w09
2000/01,2001-01-26,2001-01-26,1,FALSE,,INACH,2000/01-w10
2000/01,2001-02-03,2001-02-03,1,FALSE,,INACH,2000/01-w11
2000/01,2001-02-09,2001-02-09,1,FALSE,,INACH,2000/01-w12
2000/01,2001-02-17,2001-02-17,1,FALSE,,INACH,2000/01-w13
2001/02,2001-12-08,2001-12-08,1,FALSE,,INACH,2001/02-w01
2001/02,2001-12-15,2001-12-16,2,FALSE,,INACH,2001/02-w02
2001/02,2001-12-22,2001-12-22,1,FALSE,,INACH,2001/02-w03
