"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id","research_program","notes"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Alcazar",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Aranda",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Bahamonde",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Ballena Norte",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Chungungo",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Larga",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Loberia",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Maderas",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Marko",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Media Luna",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Modulo",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Paulina, Playa",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Pinochet de la Barra",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Roquerio",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Yamana, Playa",NA,"Crabeater seal",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Alcazar",NA,"Elephant seal",3,NA,1,0,NA,0,0,NA,0,NA,NA,NA,2,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Aranda",NA,"Elephant seal",7,NA,0,0,NA,4,3,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Bahamonde",NA,"Elephant seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Ballena Norte",NA,"Elephant seal",16,NA,0,1,NA,0,4,NA,2,NA,NA,NA,9,NA,NA,"1997/98-1",NA,"INACH","pups: 0 females; 2 males; NA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Chungungo",NA,"Elephant seal",1,NA,0,0,NA,0,1,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Larga",NA,"Elephant seal",24,NA,0,0,NA,1,18,NA,4,NA,NA,NA,1,NA,NA,"1997/98-1",NA,"INACH","pups: 3 females; 1 males; NA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Loberia",NA,"Elephant seal",1,NA,0,0,NA,0,0,NA,0,NA,NA,NA,1,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Maderas",NA,"Elephant seal",2,NA,0,0,NA,1,0,NA,0,NA,NA,NA,1,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Marko",NA,"Elephant seal",8,NA,0,0,NA,2,2,NA,3,NA,NA,NA,1,NA,NA,"1997/98-1",NA,"INACH","pups: 2 females; 1 males; NA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Media Luna",NA,"Elephant seal",185,NA,4,0,NA,11,140,NA,14,NA,NA,NA,16,NA,NA,"1997/98-1",NA,"INACH","pups: 4 females; 10 males; NA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Modulo",NA,"Elephant seal",1,NA,0,0,NA,0,0,NA,1,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH","pups: 0 females; 1 males; NA unknowns"
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Paulina, Playa",NA,"Elephant seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Pinochet de la Barra",NA,"Elephant seal",3,NA,1,0,NA,0,0,NA,0,NA,NA,NA,2,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Roquerio",NA,"Elephant seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Yamana, Playa",NA,"Elephant seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Alcazar",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Aranda",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Bahamonde",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Ballena Norte",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Chungungo",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Larga",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Loberia",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Maderas",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Marko",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Media Luna",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Modulo",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Paulina, Playa",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Pinochet de la Barra",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Roquerio",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Yamana, Playa",NA,"Leopard seal",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Alcazar",NA,"Weddell seal",18,NA,6,9,NA,0,3,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Aranda",NA,"Weddell seal",4,NA,0,0,NA,1,3,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Bahamonde",NA,"Weddell seal",1,NA,0,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Ballena Norte",NA,"Weddell seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Chungungo",NA,"Weddell seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Larga",NA,"Weddell seal",2,NA,0,1,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Loberia",NA,"Weddell seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
"1997/98","1997-12-10","1997-12-10",FALSE,NA,"1997-12-10",NA,NA,"Maderas",NA,"Weddell seal",0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,"1997/98-1",NA,"INACH",NA
